Habitatge;Tipus_Habitatge;FV;Mobilitat;Carrega;d_lab_km;d_fds_km;Estalvi_V2H_EUR;Estalvi_FV_EUR;Estalvi_FV_VE_EUR;Ingres_Excedents_EUR;Estalvi_Total_EUR;Cost_Carrega_Ext_EUR;Estalvi_Net_EUR;Factura_Xarxa_EUR;Cost_Total_Energia_EUR;Estalvi_Unidir_EUR;V2H_kWh;Xarxa_Total_kWh;Carrega_Ext_kWh;Excedent_FV_kWh;Carg_FV_VE_kWh;Demanda_Llar_kWh;Autoconsum_pct;EFC_V2H;Cost_Degradacio_EUR;Payback_Bidir_anys;Payback_Unidir_anys;Payback_Diferencial_anys;PB_Bidir_Deg_anys;PB_Difer_Deg_anys;SOC_min_pct;tCO2_Anual
PIS;PIS;No;Alta;Domestica;40;30;106,36;0,0;0;0,0;106,36;0,0;106,36;756,3;756,3;906,4;685,6;4091,5;0;0;0;1479,9;14,35;5,7;1,7;47,0;1,5;34,3;47,8;34,9;32,4;0,448151
PIS;PIS;No;Alta;Feina;40;30;118,42;0,0;0;0,0;118,42;0,0;118,42;333,12;333,12;5,34;777,9;718,8;3239,8;0;0;1479,9;51,97;6,5;1,93;42,2;252,6;30,8;42,9;31,3;47,1;0,081241
PIS;PIS;No;Alta;Publica;40;30;118,42;0,0;0;0,0;118,42;1364,13;-1245,71;333,12;1697,25;5,34;777,9;718,8;3239,8;0;0;1479,9;51,97;6,5;1,93;999;252,6;999;999;999;47,1;0,081241
PIS;PIS;No;Moderada;Domestica;30;20;108,84;0,0;0;0,0;108,84;0,0;108,84;661,74;661,74;732,57;711,2;3401,2;0;0;0;1479,9;17,29;5,9;1,77;45,9;1,8;33,5;46,7;34,1;32,0;0,37445
PIS;PIS;No;Moderada;Feina;30;20;119,3;0,0;0;0,0;119,3;0,0;119,3;331,8;331,8;3,91;790,0;702,1;2600,9;0;0;1479,9;52,95;6,6;1,96;41,9;345,3;30,6;42,6;31,1;53,8;0,07948
PIS;PIS;No;Moderada;Publica;30;20;119,3;0,0;0;0,0;119,3;1095,1;-975,79;331,8;1426,9;3,91;790,0;702,1;2600,9;0;0;1479,9;52,95;6,6;1,96;999;345,3;999;999;999;53,8;0,07948
PIS;PIS;No;Baixa;Domestica;15;15;112,87;0,0;0;0,0;112,87;0,0;112,87;559,22;559,22;511,97;747,1;2567,5;0;0;0;1479,9;22,54;6,2;1,86;44,3;2,6;32,3;45,0;32,9;30,9;0,282582
PIS;PIS;No;Baixa;Feina;15;15;120,08;0,0;0;0,0;120,08;0,0;120,08;330,76;330,76;2,88;802,6;686,2;1820,3;0;0;1479,9;53,91;6,7;1,99;41,6;468,1;30,4;42,3;30,9;56,4;0,07783
PIS;PIS;No;Baixa;Publica;15;15;120,08;0,0;0;0,0;120,08;766,42;-646,34;330,76;1097,18;2,88;802,6;686,2;1820,3;0;0;1479,9;53,91;6,7;1,99;999;468,1;999;999;999;56,4;0,07783
CASA_FV;CASA;Si;Alta;Domestica;40;30;576,03;618,14;11,13;63,16;1268,47;0,0;587,16;1770,13;1770,13;1899,63;3979,3;11594,8;0;1374,8;172,5;14074,7;25,55;33,2;9,88;8,5;0,7;6,2;8,7;6,3;30,0;1,2584
CASA_FV;CASA;Si;Alta;Feina;40;30;732,82;618,14;10,83;63,32;1425,12;0,0;743,65;1000,34;1000,34;657,4;5132,6;5809,2;5637,6;1380,1;167,4;14074,7;46,91;42,8;12,75;6,7;2,1;4,9;6,8;5,0;30,5;0,626975
CASA_FV;CASA;Si;Alta;Publica;40;30;732,82;618,14;10,83;63,32;1425,12;2373,74;-1630,09;1000,34;3374,08;657,4;5132,6;5809,2;5637,6;1380,1;167,4;14074,7;46,91;42,8;12,75;999;2,1;999;999;999;30,5;0,626975
CASA_FV;CASA;Si;Moderada;Domestica;30;20;593,99;618,14;15,5;60,79;1288,42;0,0;609,49;1676,36;1676,36;1775,83;4143,0;10846,6;0;1295,1;248,2;14074,7;27,64;34,5;10,29;8,2;0,8;6,0;8,3;6,1;30,0;1,177836
CASA_FV;CASA;Si;Moderada;Feina;30;20;747,2;618,14;14,84;61,14;1441,32;0,0;762,04;962,75;962,75;625,46;5254,0;5471,1;5245,5;1306,7;237,2;14074,7;48,99;43,8;13,05;6,6;2,2;4,8;6,7;4,9;30,0;0,591345
CASA_FV;CASA;Si;Moderada;Publica;30;20;747,2;618,14;14,84;61,14;1441,32;2208,62;-1446,58;962,75;3171,37;625,46;5254,0;5471,1;5245,5;1306,7;237,2;14074,7;48,99;43,8;13,05;999;2,2;999;999;999;30,0;0,591345
CASA_FV;CASA;Si;Baixa;Domestica;15;15;602,93;618,14;19,23;58,73;1299,03;0,0;622,16;1557,35;1557,35;1584,1;4219,1;9941,7;0;1226,0;313,9;14074,7;29,79;35,2;10,48;8,0;0,9;5,9;8,2;6,0;30,0;1,077894
CASA_FV;CASA;Si;Baixa;Feina;15;15;755,66;618,14;17,1;59,86;1450,76;0,0;772,76;933,6;933,6;595,49;5348,1;5204,1;4670,9;1263,7;278,0;14074,7;50,68;44,6;13,28;6,5;2,3;4,7;6,6;4,8;30,6;0,562486
CASA_FV;CASA;Si;Baixa;Publica;15;15;755,66;618,14;17,1;59,86;1450,76;1966,7;-1193,94;933,6;2900,31;595,49;5348,1;5204,1;4670,9;1263,7;278,0;14074,7;50,68;44,6;13,28;999;2,3;999;999;999;30,6;0,562486
CASA_noFV;CASA;No;Alta;Domestica;40;30;588,52;0,0;0;0,0;588,52;0,0;588,52;2498,83;2498,83;1959,5;4244,2;17075,0;0;0;0;14074,7;19,91;35,4;10,54;8,5;0,7;6,2;8,7;6,3;30,0;1,854396
CASA_noFV;CASA;No;Alta;Feina;40;30;756,16;0,0;0;0,0;756,16;0,0;756,16;1681,03;1681,03;641,97;5474,4;10925,6;5980,5;0;0;14074,7;33,38;45,6;13,6;6,6;2,1;4,8;6,7;4,9;30,0;1,18414
CASA_noFV;CASA;No;Alta;Publica;40;30;756,16;0,0;0;0,0;756,16;2518,09;-1761,93;1681,03;4199,12;641,97;5474,4;10925,6;5980,5;0;0;14074,7;33,38;45,6;13,6;999;2,1;999;999;999;30,0;1,18414
CASA_noFV;CASA;No;Moderada;Domestica;30;20;610,94;0,0;0;0,0;610,94;0,0;610,94;2406,4;2406,4;1848,95;4464,4;16403,4;0;0;0;14074,7;21,39;37,2;11,09;8,2;0,7;6,0;8,3;6,1;30,0;1,781903
CASA_noFV;CASA;No;Moderada;Feina;30;20;777,1;0,0;0;0,0;777,1;0,0;777,1;1628,5;1628,5;584,02;5693,1;10483,1;5767,2;0;0;14074,7;35,19;47,4;14,14;6,4;2,3;4,7;6,6;4,8;30,0;1,136648
